Original_Date,Year,Month,Day,Site,Actitis macularius,Agelasticus cyanopus,Chionomesa lactea,Amazonetta brasiliensis,Anas bahamensis,Anas flavirostris,Anas georgica,Spatula versicolor,Anhinga anhinga,Aramides cajaneus,Aramides saracura,Aramus guarauna,Ardea alba,Ardea cocoi,Bartramia longicauda,Ardea ibis,Butorides striata,Cairina moschata,Calidris fuscicollis,Calidris himantopus,Calidris melanotos,Camptostoma obsoletum,Caracara plancus,Anarhynchus collaris,Chloroceryle amazona,Chloroceryle americana,Chrysomus ruficapillus,Conirostrum speciosum,Coragyps atratus,Cyclarhis gujanensis,Dendrocygna autumnalis,Dendrocygna bicolor,Dendrocygna viduata,Donacobius atricapilla,Dryocopus lineatus,Egretta thula,Elaenia flavogaster,Elaenia mesoleuca,Elaenia spectabilis,Empidonomus varius,Falco femoralis,Forpus xanthopterygius,Furnarius figulus,Gallinula galeata,Gallinago paraguaiae,Alopochen aegyptiaca,Himantopus mexicanus melanurus,Hirundo rustica,Icterus jamacaii,Ictinia plumbea,Jacana jacana,Laterallus melanophaius,Megaceryle torquata,Melanerpes candidus,Mesembrinibis cayennensis,Molothrus bonariensis,Myiarchus ferox,Myiarchus swainsoni,Myiodynastes maculatus,Myiophobus fasciatus,Nannopterum brasilianum,Nycticorax nycticorax,Parabuteo unicinctus,Pardirallus nigricans,Pardirallus sanguinolentus,Paroaria coronata,Patagioenas picazuro,Phacellodomus ferrugineigula,Phalaropus tricolor,Phimosus infuscatus,Pionus maximiliani,Pitangus sulphuratus,Platalea ajaja,Pluvialis dominica,Podilymbus podiceps,Porphyrio martinica,Psittacara leucophthalmus,Pyrocephalus rubinus,Pyroderus scutatus,Ramphastos dicolorus,Ramphocelus bresilia,Rostrhamus sociabilis,Rynchops niger,Satrapa icterophrys,Serpophaga subcristata,Sicalis flaveola,Syrigma sibilatrix,Spinus magellanicus,Streptoprocne zonaris,Tachybaptus dominicus,Tachycineta leucorrhoa,Tapera naevia,Thamnophilus ruficapillus,Theristicus caudatus,Tigrisoma lineatum,Tringa flavipes,Tringa melanoleuca,Tringa solitaria,Turdus amaurochalinus,Turdus flavipes,Tyrannus melancholicus,Tyrannus savana,Vanellus chilensis,Veniliornis spilogaster,Vireo chivi,Volatinia jacarina
6/15/14,2014,June,15,Embu,,,,35,20,,1,4,,,,,2,1,,6,,,,,,,,,,,,,50,,,,,,,30,,,,,,,,30,,,400,,,,15,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,
6/15/14,2014,June,15,PET,,,,20,12,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,2,,,,4,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/14,2014,July,5,PET,,,,11,3,,,,1,,1,3,3,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,26,,,3,,,,1,,,,,,,,,,26,3,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
7/9/14,2014,July,9,Embu,,,,40,4,,,4,,,,,,1,,,,,,,,,50,,,,,,,,,2,,,,15,,,,,,,,120,,,300,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,180,,,
7/9/14,2014,July,9,PET,,,,40,16,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,6,,,,,,,,80,,,2,,,,6,,,,,,,,,,15,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14,2014,July,9,Lagoa Branca Flor,,,,25,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/14,2014,August,6,Embu,,,,18,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,80,,,180,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,80,,,
8/6/14,2014,August,6,PET,,,,,12,,,,,,,,1,,,20,,,,,,,,,,,,,,,,2,,,,,,,,,,,,50,,,4,,,,4,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
8/6/14,2014,August,6,Lagoa Branca Flor,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,20,,,20,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/14,2014,August,6,Embu,1,,,30,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,130,,,80,,,,8,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,90,,,
8/20/14,2014,August,20,Embu,,,,,,,,1,,,,,,,,12,,,,,,,,,,,,,,,,,,,,6,,,,,,,,120,,,40,,,,12,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
9/21/14,2014,September,21,Embu,,,,30,4,,,,,,,,,,,25,,,,,,,,,,,6,,15,,,,2,,,,,,,,,,,80,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,,,
9/28/14,2014,September,28,Embu,2,,,3,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,50,,,15,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,1,,,,,,,,,3,,,,,,,50,,2,,,,2,20,,,
9/28/14,2014,September,28,PET,,,,30,6,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,4,2,,,2,,,,,,,,30,,,4,,,,12,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,25,,,
10/26/14,2014,October,26,Embu,,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
10/26/14,2014,October,26,PET,,,,6,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,8,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
11/30/14,2014,November,30,Embu,,,,4,6,,,,,,,,,,,,,,,,,,,,,,80,,30,,,,,,,,,,,,,,,30,,,20,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,45,,,,,,,6,,,
12/20/14,2014,December,20,Embu,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,30,2,,170,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,30,,,,,,,35,,,
1/25/15,2015,January,25,Embu,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,2,,,,,,,,70,1,,150,,,,6,,,,,,,,,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,95,,2,,,,,150,,,
1/31/15,2015,January,31,PET,,,,,2,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,6,1,23,,,,,,,,,,,23,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2/19/15,2015,February,19,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,
2/19/15,2015,February,19,PET,,,,,,,,6,,,,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/15,2015,March,1,Embu,,,,,6,,,,,,,,,,,11,,,,,,,,,,,,,20,,,,,,,,,,,,,,,16,1,,250,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,2,,,,,25,,,
3/15/15,2015,March,15,Embu,,,,,8,3,,,,,,,,,,,,,,,1,,,,,,,,35,,,,7,,,,,,,,,,,90,1,,350,1,,,4,,,,,,,,,,,,,2,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,70,,,
4/3/15,2015,April,3,Embu,,,,,,,,,,,,,2,,,,1,,,,2,,,,,,,,120,,,,,,,6,,,,,,,,85,,,280,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,5,,,,,,,,,200,,,,,,,150,,,
5/2/15,2015,March,2,Embu,,,,30,6,,,,,,,,2,,,,,,,,,,6,,,,,,90,,,,,,,,,,,,,,,95,,,300,,,,16,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,150,,,
6/21/15,2015,June,21,Embu,,,,30,90,,,6,,,,,2,,,50,,,,,,,,,,,,,,,,,,,,6,,,,,,,,20,,,600,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,200,,,
7/12/15,2015,July,12,Embu,,,,50,60,,,,,,,,,,,,,,,,,,,,,,,,25,,,6,,,,,,,,,,,,40,,,200,,,,12,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,80,,,
8/11/15,2015,August,11,Embu,,,,15,6,,,,,,,,,,,35,,,,,,1,18,,,,,,16,,,,,,,,,,,,,,,16,,,,,,,12,,,6,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2,,,,2,,,,,,,,2,,,,,,,80,,,4
9/5/15,2015,September,5,Embu,,,,60,2,,,2,,,,,1,,,18,,,,,,,,,,,,4,150,,,,,,,1,,,,,,,,110,2,,120,,,,18,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,3,,,,,180,,,
9/26/15,2015,September,26,Embu,,,,6,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,40,,,120,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,1,,,,,140,,,
10/24/15,2015,October,24,Embu,,,,,12,,,,,,,,,,,20,,,,,,,,,,,,,50,,,,,,,,,,,,,,,65,,,250,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,80,,,,,,1,50,,,
11/22/15,2015,November,22,Embu,,,,6,30,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,50,,,250,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,2,,,,2,,,,
12/25/15,2015,December,25,Embu,,,,6,6,,,2,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,18,,,200,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,2,,,,2,160,,,
1/24/16,2016,January,24,Embu,,20,,35,40,,,,,,,,4,1,,,,,,,,,,,,,,,35,,,,,,,25,,,,,,6,,42,,,85,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,120,,1,,,,6,110,,,
1/30/16,2016,January,30,PET,,,,10,,,,,1,,,2,1,,,,5,,,,,,,,1,1,,,,,,,21,,,1,,,,,,,,24,,,2,,,,5,,,,2,,,,,,3,,,1,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,41,,,
2/28/16,2016,February,28,Embu,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,40,,,,,,,1,,,,,,,,35,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,130,,1,,,,,85,,,
4/16/16,2016,April,16,Embu,,,,6,,,,8,,,,,1,,,,,,,,,,,,,,,,300,,,,,,,12,,,,,,,,,5,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,
5/25/16,2016,May,25,Embu,,,,,,,,2,,,,,4,,,18,,,,,,,,,,,,,60,,,,,,1,12,,,,,,,,18,,,165,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,
6/26/16,2016,June,26,Embu,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,80,,,,,,,12,,1,,,,,,18,,,105,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
7/24/16,2016,July,24,Embu,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,200,,,,,,,2,,,,,,,,30,,,180,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
8/14/16,2016,August,14,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,8,,,,,,,,,,,,,,,
8/25/16,2016,August,25,Embu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,2,,,,,,,,
10/30/16,2016,October,30,Embu,,,,2,6,,,2,,,,,,,,30,,,,,,,,,,,,,200,,,,,,,20,,,,,,,,12,,,40,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,2,2,,,2,,,,
11/27/16,2016,November,27,Embu,,,,2,4,,,,,,,,2,,,30,,,,,,,,,,,,,20,,,,,,,,,,,,,,,35,,,215,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,25,,,,,,2,50,,,
1/2/17,2017,January,2,Embu,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,6,,,,,,,,30,5,,50,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,1,,,,1,,,,
1/21/17,2017,January,21,Embu,,,,6,12,,,2,,,,,2,,,,,,,,2,,,,,,,,80,,,,,,,,,,,,,2,,25,,,90,,,,2,,,1,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,1,,,,,,,,
2/4/17,2017,February,4,PET,,,,12,,,,,1,,,,3,,,,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,15,,,,,,,13,,,,,,,,,,3,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/17,2017,February,27,Embu,,,,2,40,,,4,,,,,2,,,12,,,,,,,,,,,,,120,,,2,,,,4,,,,,,,5,35,4,,400,,,,4,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,5,,,,,,,,
3/29/17,2017,March,29,Embu,,,,,50,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,,,400,,,,2,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,70,,2,,,,,,,,
4/21/17,2017,April,21,Embu,,,,,100,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,450,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
5/27/17,2017,May,27,Embu,,,,15,50,,,8,,,,,2,,,,,,,,,,,,,,,,60,,,,,,,12,,,,,,,,25,2,,503,,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/17,2017,June,24,Embu,,,,4,35,,,,,,,,,,,25,,,,,,,,,,,,,200,,,,,,,50,,,,,,,,40,1,,350,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
7/2/17,2017,July,2,PET,,,,13,,,,,5,,,,3,,,,1,2,,,,,,,,,,,,,,,6,,,8,,,,,,,,25,,,,,,,1,,,,,,,,,,24,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,14,,,
7/28/17,2017,July,28,Embu,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,35,,,,,,,,25,,,150,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,
8/13/17,2017,August,13,Embu,,,,4,60,,,,,,,,1,,,,,,,,,,,,,,20,,,,,,,,1,12,,,,,,,,50,,,80,,,,4,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,110,1,,
9/24/17,2017,September,24,Embu,,,,12,45,,,4, ,,,,,,,25,,,,,,,,,,,,,100,,,,,,,,,,,,,,1,35,3,,45,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,120,,2,,,,,100,,,
10/12/17,2017,October,12,Embu,,,,20,60,,,12,,,,,,,,,,,,,,,,,,,70,,120,,,,,1,,,,,,,,,4,40,2,,35,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,120,,1,,,,,100,,,
11/11/17,2017,November,11,Embu,,,,35,50,,,12,,,,,1,,,,,,,,1,,,,,,,,50,,,6,8,,,,,,,,,,,30,1,,70,,1,,6,,,,,2,,,,,,2,,2,,,,,,5,,,,,,,,,,1,,,,,,,,,,,6,,,,1,150,,4,,,2,2,,,,
12/9/17,2017,December,9,Embu,,,,30,60,,,12,,,,,,,,,,,,,,,,,,,,,50,,,,2,,,,,,,,,,,30,,,350,,,,4,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,150,,12,,,,,60,,,
1/14/18,2018,January,14,Embu,,,,12,6,,,6,,,,,1,1,,8,,,,,,,,,,,,,40,,,,4,,,1,,1,1,,,,4,15,1,,630,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,8,,,,6,30,,,
2/3/18,2018,February,3,PET,,,,2,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,3,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
2/4/18,2018,February,4,Embu,,,,4,40,,,2,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,12,3,,630,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,120,,2,,,,,80,,,
2/24/18,2018,February,24,Embu,,,,8,50,,,15,,,,,,,,,,,,,3,,,,,,,,80,,,,,,,,,,,,,,,5,6,,500,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,31,,11,,,,,50,,,
3/11/18,2018,March,11,Embu,,,,6,30,,,,,,,,,,,2,,,,,,,,,,,,,50,,,,,,,,,,,,,,,6,2,,700,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,110,,2,,,,,60,,,
3/30/18,2018,March,30,Embu,,,,,8,,,,,,,,,,,10,,,,,,,,,,,,,30,,,,,,,,,,,,1,,1,4,1,,600,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,40,1,,,,,,30,,,
4/14/18,2018,April,14,Embu,,,,,50,,,4,,,,,,,,16,,,,,,,,,,,,,20,,,,,,,2,,,,,,,1,6,,,600,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,30,,,
4/28/18,2018,April,28,Embu,,,,2,120,,,12,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,6,1,,600,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/18,2018,May,27,Embu,,,,8,120,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,18,3,,600,,,,2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
7/9/18,2018,July,9,Embu,,,,50,120,,,3,,,,,,,,2,,,,,,,,,,,,,30,,,,,,1,,,,,,,,,50,4,,600,,,,6,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/18,2018,July,14,PET,,,,6,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
7/27/18,2018,July,27,Embu,,,,25,40,,,2,,,,,,,,,,,,,,,,,,,,,30,,,,,,,8,,,,,,,,45,3,,450,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8/18/18,2018,August,18,Embu,,,,12,50,,,2,,,,,,,,5,,,,,,,,,,,,,25,,,,,,,25,,,,,,,,25,3,,450,,,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,50,,,
9/3/18,2018,September,3,Embu,,,,6,12,,,2,,,,,2,,,,,,,,,,,,,,,,25,,,,,,,2,,,1,,,,2,25,4,,350,,1,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,30,,,,,,2,,,,
10/14/18,2018,October,14,Embu,,,,2,30,,,2,,,,,,,,20,1,,,,1,,,,,,,,40,,,,,,,6,,,,,,,,18,,,350,,,,4,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,100,,2,,,,,,,,
11/15/18,2018,November,15,Embu,,,,6,4,,,1,,,,,,,,4,1,,,,,,,,,,,,40,,,,1,,,24,,,,,,,,18,1,,300,,,,4,,,,,,,,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,30,,,
12/16/18,2018,December,16,Embu,,,,8,3,,,,,,,,1,,,6,,,,,,,,,,,,,46,,,,,,,2,,,,,2,,,4,6,,250,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,2,,,,,48,,,
1/13/19,2019,January,13,Embu,,,,6,22,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,6,,,,,,,,,,,6,2,,300,,,,,,,,,,,,,,,1,,2,,,,,,15,,,,,,,,,,,,,,,,,2,,,,,,,,,80,,3,,,,,30,,,
2/23/19,2019,February,23,Embu,,,,2,17,,,18,,,,,1,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,20,2,,380,,,,2,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,60,,2,,,,,120,,,
3/17/19,2019,March,17,Embu,,,,2,35,,,,,,,,5,,,34,,1,,,,,18,,,,,,48,,,,,,,,,,,,,,2,6,,,500,,,,4,,,,,,,,,,,,,2,,,18,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,110,,1,,,,,95,,,
3/23/19,2019,March,23,PET,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/19,2019,April,29,Embu,,,,4,12,,,12,,,,,2,,,40,,,,,,,28,,,,,,150,,,,,,,15,,,,,,,,6,1,,1500,,,,4,,,,,,,,,,,,,,,,25,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
2/7/21,2021,February,7,Embu,,,,8,12,,,3,,,1,,8,1,,35,4,,,,,,,,,,,,120,,,,2,,,12,,,,,,,4,8,3,,500,,,,4,,,,5,,,,,,1,,,2,,,,,,78,,,,,,,11,,,,,,,,,,,,,,,,,,,63,,3,,,,,12,,,
7/3/21,2021,July,3,Embu,,,,35,22,,,4,,,,,1,,,2,2,,,,,,,,,,,,50,,,,,,,6,,,,,,,,20,4,,120,,,,2,,,,5,,,,,,,,,4,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,
2/19/22,2022,February,19,Embu,,,,2,,8,80,8,,,,,2,,,70,,,,,,,14,,,,,,130,,,,,,,12,,,,,,,,3,5,,650,,,,,2,,,,,,,,,,,,2,,,22,,,22,,,,,,,,,,,,,,,,,,,,,,,1,,,120,,3,,,,,70,,,
7/6/22,2022,July,6,Embu,,,,12,18,,,2,,,,,,,,12,,,,,,,,,,,,,70,,,,,,,2,,,,,,,,2,3,,53,,,,3,,,,,,,,,,,,,2,,,,,,55,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,
2/17/23,2023,February,17,Embu,,,,12,32,,,4,,,,,2,,,78,4,,,,,,,,,,,,75,,,,,,,,,,,,,,,2,2,,520,,,,2,2,,,2,,,,,,,,,2,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,155,,2,,,,,68,,,
7/3/23,2023,July,3,Embu,,,,21,18,,,,,,,,1,,,4,,,,,,,,,,,,,80,,,,,,,1,,,,,,,,4,6,,75,,,,4,,,,,,,,,,,,,2,,,,,,45,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,56,,,
2/10/24,2024,February,10,Embu,,,,12,18,3,,27,,,,,1,,,25,2,,,,,,7,,,,,,75,,,3,2,,,6,,,,,,,,4,2,,400,,,,6,,,,4,,,,,,,,,4,,,70,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,60,,1,,,,,82,,,
7/6/24,2024,July,6,Embu,,,,20,3,,,2,,,,,1,,,6,,,,,,,,,,,,,105,,,,,,,1,,,,,,,1,75,4,,6,,,,2,,,,,,,,,,,,,2,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
